Name,Author,Created,Vendor,CVE,ExpectedLocations,VulnerableExecutablePath,VulnerableExecutableType,VulnerableExecutableAutoElevated,VulnerableExecutablePrivilegeEscalation,VulnerableExecutableCondition,VulnerableExecutableSHA256,VulnerableExecutableEnvironmentVariable,Resources,Acknowledgements,URL
"corefoundation.dll","Matt Anderson - HuntressLabs","2024-04-13","Apple","","%PROGRAMFILES%\Common Files\Apple\Apple Application Support, %PROGRAMFILES%\iTunes, %SYSTEM32%","%PROGRAMFILES%\QuickTime\QuickTimePlayer.exe","Sideloading","","","","b3a7ff97aca1201758c5295afa7d34e8d05f429b7faf707cf4d5740b8c76cb61","","https://analyze.intezer.com/analyses/82011cc1-c3df-4c63-9945-8730b0d1cf3e, https://www.virustotal.com/gui/file/ff5e56c20591a9019eb28b3cab88f5a240657c1c360bf01ad3a6d417fa10b7f5, https://www.joesandbox.com/analysis/1394928/0/html, https://discussions.apple.com/thread/2732037?sortBy=best, https://iosninja.io/dll/download/corefoundation-dll","Matt Anderson (@nosecurething)","https://hijacklibs.net/entries/3rd_party/apple/corefoundation.html"
"asio.dll","Jai Minton - HuntressLabs","2024-04-10","Asus","","%PROGRAMFILES%\ASUS\AXSP\%VERSION%","%PROGRAMFILES%\ASUS\AXSP\4.02.12\atkexComSvc.exe","Sideloading","","","","12c22ba646232d5d5087d0300d5cfd46fed424f26143a02dc866f1bfceab3c10","","https://www.virustotal.com/gui/file/006f91524d53d483074335f74c2ca2c10cab9b64de86f6151eedfa53174434f2/relations, https://www.virustotal.com/gui/file/7f4689de97d97ddb6e788119ebf0dc3707c66f8216d7cbc79ea329d0c3df63bf/details","Jai Minton (@cyberrraiju)","https://hijacklibs.net/entries/3rd_party/asus/asio.html"
"asus_wmi.dll","Jai Minton - HuntressLabs","2024-04-10","Asus","","%PROGRAMFILES%\ASUS\AXSP\%VERSION%","%PROGRAMFILES%\ASUS\AXSP\%VERSION%\atkexComSvc.exe","Sideloading","","","","12c22ba646232d5d5087d0300d5cfd46fed424f26143a02dc866f1bfceab3c10","","https://www.virustotal.com/gui/file/006f91524d53d483074335f74c2ca2c10cab9b64de86f6151eedfa53174434f2/relations, https://www.virustotal.com/gui/file/7f4689de97d97ddb6e788119ebf0dc3707c66f8216d7cbc79ea329d0c3df63bf/details","Jai Minton (@cyberrraiju)","https://hijacklibs.net/entries/3rd_party/asus/asus_wmi.html"
"vender.dll","Wietze Beukema","2023-04-04","Asus","","%PROGRAMFILES%\ASUS\GPU TweakII, %PROGRAMFILES%\ASUS\VGA COM\%VERSION%","%PROGRAMFILES%\ASUS\GPU TweakII\ASUSGPUFanService.exe","Sideloading","","","","00bfbbe6e9d0c54312de906be79cc1e9f18b2957856a1215eaff1ac7bb20e66f","","https://decoded.avast.io/threatintel/apt-treasure-trove-avast-suspects-chinese-apt-group-mustang-panda-is-collecting-data-from-burmese-government-agencies-and-opposition-groups/","","https://hijacklibs.net/entries/3rd_party/asus/vender.html"
"dal_keepalives.dll","Wietze Beukema","2025-02-15","Audinate","CVE-2022-23748","%PROGRAMFILES%\audinate\shared files","%PROGRAMFILES%\audinate\shared files\mDnsResponder.exe","Sideloading","","","","8360c2391f373c9de46c5b37fef952c2309be34e62127777ad7358ddb1d437ff","","https://research.checkpoint.com/2023/stayin-alive-targeted-attacks-against-telecoms-and-government-ministries-in-asia/, https://www.cisa.gov/news-events/alerts/2025/02/06/cisa-adds-five-known-exploited-vulnerabilities-catalog, https://www.virustotal.com/gui/file/d4bd89ff56b75fc617f83eb858b6dbce7b36376889b07fa0c2417322ca361c30","","https://hijacklibs.net/entries/3rd_party/audinate/dal_keepalives.html"
"wsc.dll","Matt Green","2022-08-15","Avast","","%PROGRAMFILES%\AVAST Software\Avast, %PROGRAMFILES%\Norton\Suite, %PROGRAMFILES%\AVG\Antivirus","wsc_proxy.exe","Search Order","","","","85ca20eeec3400c68a62639a01928a5dab824d2eadf589e5cbfe5a2bc41d9654","","https://github.com/netero1010/Vulnerability-Disclosure/tree/main/CVE-2022-AVAST2, https://securelist.com/cycldek-bridging-the-air-gap/97157/","","https://hijacklibs.net/entries/3rd_party/avast/wsc.html"
"basicnetutils.dll","Wietze Beukema","2023-05-03","Baidu","","%LOCALAPPDATA%\Temp\%VERSION%\Application2, %PROGRAMFILES%\BAIDU\BAIDUPINYIN\%VERSION%","%LOCALAPPDATA%\Temp\%VERSION%\Application2\XLGameUpdate.exe","Sideloading","","","","769d59d03036af86c7a9950f03ebc7b693a94d3e2f8ecd1d74cf5600ab948105","","https://news.sophos.com/en-us/2023/05/03/doubled-dll-sideloading-dragon-breath/, https://www.welivesecurity.com/2023/03/16/not-so-private-messaging-trojanized-whatsapp-telegram-cryptocurrency-wallets/","","https://hijacklibs.net/entries/3rd_party/baidu/basicnetutils.html"
"log.dll","Wietze Beukema","2022-06-13","BitDefender","","%PROGRAMFILES%\Bitdefender Antivirus Free","%PROGRAMFILES%\Bitdefender Antivirus Free\BDReinit.exe","Sideloading","","","","386EB7AA33C76CE671D6685F79512597F1FAB28EA46C8EC7D89E58340081E2BD","","https://www.secureworks.com/research/shadowpad-malware-analysis, https://www.hexacorn.com/blog/2023/02/25/beyond-good-ol-run-key-part-141/","","https://hijacklibs.net/entries/3rd_party/bitdefender/log.html"
"bugsplat64.dll","Swachchhanda Shrawan Poudel","2025-02-27","BugSplat","","%PROGRAMFILES%\Nitro\PDF Pro\, %PROGRAMFILES%\Nitro\Pro","BugSplatHD64.exe","Sideloading","","","","b874075e7bc7c9dbf25fed0d3f54aa694957e5ff57c0ebbcf88c9c277771d37c","","https://x.com/ankit_anubhav/status/1895061182689747333, https://bazaar.abuse.ch/sample/97791eba8ac9745155cea4cc1a90e44765a97b840441220ec13c82f719c65f1a/","Ankit Anubhav (@ankit_anubhav), Swachchhanda Shrawan Poudel (@_swachchhanda_)","https://hijacklibs.net/entries/3rd_party/bugsplat/bugsplat64.html"
"calibre-launcher.dll","Jai Minton - HuntressLabs","2024-08-07","Calibre","","%PROGRAMFILES%\Calibre2","calibre.exe","Sideloading","","","","735e7b33b97bff3cf6416ed3b8ed7213d7258eec05202cbf8f8f8002c6435fd1","","https://www.huntress.com/blog/advanced-persistent-threat-targeting-vietnamese-human-rights-defenders","Jai Minton (@cyberrraiju), Craig Sweeney (@bumbucha)","https://hijacklibs.net/entries/3rd_party/calibre/calibre-launcher.html"
